,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,7617.02,7822.37,8817.62,11385.47,11122.44
2,Liabilities,5170.93,5594.16,6198.9,8126.97,7840.7
3,Equity,1506.85,1292.39,1702.83,2094.84,2088.18
4,Paid-up Capital,480.0,480.0,480.0,480.0,467.69
5,Revenue,6803.85,7082.6,8812.73,9754.43,9819.99
6,Profit (Loss) from Other Activities,-1.65,-12.32,39.11,15.95,-3.42
7,Net Profit,331.36,438.84,722.76,774.9,572.56
8,EPS (Baht),0.35,0.47,0.77,0.83,0.61
9,Financial Ratio,,,,,
10,ROA (%),9.73,10.77,13.99,13.45,10.36
11,ROE (%),20.76,31.35,48.26,40.81,27.38
12,Net Profit Margin (%),8.9,9.12,10.16,10.51,8.21
