,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,109157.86,124466.57,138897.29,156453.91,172437.29
2,Liabilities,33496.19,53280.47,59690.67,73594.41,84961.25
3,Equity,75661.66,71186.09,79206.62,82859.51,87476.04
4,Paid-up Capital,32000.00,32000.00,32000.0,32000.77,32002.34
5,Revenue,11522.00,6136.42,4395.83,9603.15,14035.47
6,Profit (Loss) from Other Activities,-,-,3884.46,4922.66,4939.85
7,Net Profit,1054.23,-1881.23,861.48,3853.86,5037.86
8,EPS (Baht),0.04,-0.06,0.03,0.12,0.16
9,Financial Ratio,,,,,
10,ROA (%),3.14,-0.99,1.77,4.11,4.89
11,ROE (%),2.09,-2.56,1.15,4.76,5.92
12,Net Profit Margin (%),9.03,-30.66,19.6,41.45,36.37
