,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,208522.6,214437.69,241932.0,254043.13,243232.67
2,Liabilities,103416.2,111603.45,127895.31,133245.75,138006.96
3,Equity,104490.41,102243.2,113440.87,120494.07,104926.97
4,Paid-up Capital,5264.65,5264.65,5264.65,5264.65,5264.65
5,Revenue,41055.02,37782.97,38136.94,61725.28,53283.79
6,Profit (Loss) from Other Activities,6105.1,5698.85,6100.82,3129.68,-10005.48
7,Net Profit,13059.24,8733.03,4103.84,2683.1,-8384.07
8,EPS (Baht),24.81,16.59,7.8,5.1,-15.93
9,Financial Ratio,,,,,
10,ROA (%),7.34,6.62,5.71,3.74,-1.27
11,ROE (%),12.76,8.45,3.81,2.29,-7.44
12,Net Profit Margin (%),31.97,23.18,10.8,4.25,-15.74
