,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,17037.59,17989.31,38713.28,58931.92,56382.35
2,Liabilities,9632.22,8915.48,12800.22,13637.11,12740.47
3,Equity,7400.35,9067.86,25905.66,45292.73,43643.54
4,Paid-up Capital,828.75,828.75,828.75,828.75,828.75
5,Revenue,16566.18,17254.7,38007.26,52219.0,26836.12
6,Profit (Loss) from Other Activities,222.0,179.32,216.63,1215.25,322.57
7,Net Profit,-491.75,1744.79,17972.75,24625.18,1501.9
8,EPS (Baht),-0.59,2.1,21.69,29.71,1.81
9,Financial Ratio,,,,,
10,ROA (%),-0.89,11.56,64.17,50.96,3.46
11,ROE (%),-6.22,21.19,102.78,69.17,3.38
12,Net Profit Margin (%),-2.98,10.12,47.3,47.16,5.6
