,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,20372.77,25901.09,45278.28,55401.15,62239.65
2,Liabilities,15140.34,19134.93,18455.66,24619.75,29511.84
3,Equity,3385.47,3739.18,17264.5,18965.07,18618.99
4,Paid-up Capital,906.61,921.43,1382.21,1426.95,1457.63
5,Revenue,11850.43,11714.66,12335.52,14741.59,14585.65
6,Profit (Loss) from Other Activities,66.6,27.43,1665.15,865.11,-663.79
7,Net Profit,533.85,797.87,2467.59,1794.96,-447.01
8,EPS (Baht),0.59,0.88,2.39,1.27,-0.31
9,Financial Ratio,,,,,
10,ROA (%),7.54,9.2,11.56,7.4,3.49
11,ROE (%),17.13,22.4,23.5,9.91,-2.38
12,Net Profit Margin (%),6.69,11.05,25.28,17.74,4.11
