,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,452514.39,489382.65,754115.49,719965.49,719005.0
2,Liabilities,158919.04,200388.69,426512.33,421137.78,422823.89
3,Equity,285830.17,281015.11,318241.84,291300.01,288894.52
4,Paid-up Capital,45088.49,45088.49,45088.49,45088.49,45088.49
5,Revenue,415160.4,331571.29,491490.37,687899.45,632568.88
6,Profit (Loss) from Other Activities,7813.13,4144.26,635.51,-19026.1,-223.34
7,Net Profit,11682.08,199.61,44982.39,-8752.21,999.13
8,EPS (Baht),2.59,0.04,10.01,-1.94,0.22
9,Financial Ratio,,,,,
10,ROA (%),3.5,0.86,9.44,-0.01,1.94
11,ROE (%),4.02,0.07,15.01,-2.87,0.34
12,Net Profit Margin (%),2.97,0.2,9.27,-1.11,0.14
