,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,6265.69,6200.79,10549.69,10279.98,10264.22
2,Liabilities,2370.25,2007.61,2708.72,2416.09,2333.41
3,Equity,3702.47,4024.47,7568.94,7523.16,7524.57
4,Paid-up Capital,1100.00,1100.00,1100.00,1100.0,1100.0
5,Revenue,5190.87,5464.48,12001.36,10413.76,8023.07
6,Profit (Loss) from Other Activities,-,-,-,-1.11,-19.35
7,Net Profit,705.24,876.62,4204.07,2778.45,1046.05
8,EPS (Baht),0.06,0.08,0.38,0.25,0.1
9,Financial Ratio,,,,,
10,ROA (%),14.85,17.76,63.25,34.28,13.34
11,ROE (%),19.41,22.69,72.53,36.82,13.9
12,Net Profit Margin (%),12.80,15.60,35.56,27.37,13.3
