,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,36397.4,40221.65,45470.86,47658.85,57588.09
2,Liabilities,19420.95,21469.13,23462.42,23244.12,31860.99
3,Equity,14054.51,15648.21,17723.26,19458.86,20417.81
4,Paid-up Capital,1067.0,1150.0,1150.0,1150.0,1150.0
5,Revenue,6112.7,4350.4,5433.66,8138.01,9784.59
6,Profit (Loss) from Other Activities,689.97,562.62,974.3,342.17,1064.06
7,Net Profit,1742.06,1103.44,1402.29,2341.35,1884.76
8,EPS (Baht),1.63,1.02,1.22,2.04,1.64
9,Financial Ratio,,,,,
10,ROA (%),8.16,5.23,6.55,8.81,6.89
11,ROE (%),12.89,7.43,8.4,12.59,9.45
12,Net Profit Margin (%),35.79,32.22,36.1,38.87,25.15
