,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,49534.54,52636.61,53983.6,43041.02,40511.04
2,Liabilities,9085.5,8495.84,7282.72,7488.41,96.69
3,Equity,34525.17,38063.61,40686.76,36317.77,39815.53
4,Paid-up Capital,3206.42,3206.51,3206.6,3206.69,3206.69
5,Revenue,5296.9,4571.97,3735.01,61.05,32.44
6,Profit (Loss) from Other Activities,12105.74,11049.11,10990.91,10519.23,11761.92
7,Net Profit,11083.01,11047.65,10748.22,10533.09,13138.58
8,EPS (Baht),3.46,3.45,3.35,3.28,4.1
9,Financial Ratio,,,,,
10,ROA (%),20.93,22.84,20.79,21.44,34.72
11,ROE (%),33.95,30.44,27.3,27.36,34.51
12,Net Profit Margin (%),184.37,248.33,290.16,17301.2,44694.97
