,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,134277.54,245580.51,362673.85,418171.96,459514.17
2,Liabilities,85237.6,173500.69,255164.71,282370.43,315409.71
3,Equity,38427.11,64027.15,96595.95,110786.96,116584.98
4,Paid-up Capital,10666.5,11733.15,11733.15,11733.15,11733.15
5,Revenue,30343.36,33370.44,49983.74,95076.17,116950.73
6,Profit (Loss) from Other Activities,4208.92,2328.31,1811.26,5694.0,9475.04
7,Net Profit,4886.56,4282.11,7670.3,11417.56,14857.73
8,EPS (Baht),2.29,0.39,0.65,0.97,1.27
9,Financial Ratio,,,,,
10,ROA (%),7.79,5.22,4.97,5.92,6.95
11,ROE (%),13.04,8.36,9.55,11.01,13.07
12,Net Profit Margin (%),23.62,18.41,18.34,14.84,17.11
