,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,35986.39,36020.3,39274.6,39148.21,39057.89
2,Liabilities,19855.47,18806.46,19438.55,17057.12,15510.68
3,Equity,15912.14,16981.18,19560.85,21787.54,23239.2
4,Paid-up Capital,4201.54,4401.61,4601.67,4801.74,5001.8
5,Revenue,29182.28,27353.89,34116.11,35978.4,33013.75
6,Profit (Loss) from Other Activities,29.36,23.35,80.75,119.54,134.98
7,Net Profit,2093.47,1955.96,3343.58,3486.87,2671.43
8,EPS (Baht),0.5,0.44,0.73,0.73,0.53
9,Financial Ratio,,,,,
10,ROA (%),8.58,7.43,11.48,11.54,9.16
11,ROE (%),13.69,11.89,18.3,16.87,11.87
12,Net Profit Margin (%),7.24,7.22,9.85,9.74,8.11
