,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,3012216.12,3327780.27,3556744.44,3592418.86,3677684.45
2,Liabilities,2663889.73,2972716.68,3182633.0,3199846.83,3256838.16
3,Equity,338287.3,343465.75,360052.89,376304.77,402376.08
4,Paid-up Capital,72005.04,72005.04,72005.04,72005.04,72005.04
5,Revenue,157678.72,147758.14,140309.27,149675.44,189487.17
6,Profit (Loss) from Other Activities,8992.87,6145.63,5224.75,6566.25,6726.74
7,Net Profit,29284.04,16731.59,21588.29,33697.74,36615.91
8,EPS (Baht),2.09,1.2,1.54,2.41,2.62
9,Financial Ratio,,,,,
10,ROA (%),2.57,1.53,1.51,1.94,2.45
11,ROE (%),9.09,4.91,6.14,9.15,9.4
12,Net Profit Margin (%),20.38,13.16,17.5,24.86,21.28
