,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,14780.04,17086.68,19185.65,20038.93,19543.5
2,Liabilities,6061.67,6929.39,9074.86,9473.89,8231.01
3,Equity,8565.81,9956.01,10209.29,10682.56,11490.79
4,Paid-up Capital,1000.00,1000.00,1000.00,1000.0,1000.0
5,Revenue,15051.82,17386.29,17570.33,19454.81,19045.71
6,Profit (Loss) from Other Activities,-,-,-,4.56,8.5
7,Net Profit,2506.46,3525.03,2881.00,2286.2,1924.24
8,EPS (Baht),2.51,3.53,2.88,2.29,1.92
9,Financial Ratio,,,,,
10,ROA (%),21.75,27.20,18.99,14.27,12.23
11,ROE (%),31.84,38.06,28.57,21.89,17.36
12,Net Profit Margin (%),16.40,20.47,16.18,11.57,9.98
