,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,17941.59,20353.43,19568.67,19901.08,20347.25
2,Liabilities,3314.9,6505.99,6059.83,6135.89,6152.92
3,Equity,14306.48,13523.0,13194.46,13442.79,13843.36
4,Paid-up Capital,920.88,920.88,920.88,920.88,920.88
5,Revenue,17870.83,13655.26,11368.01,15938.18,16973.55
6,Profit (Loss) from Other Activities,-41.09,-6.3,-23.44,-29.13,-8.85
7,Net Profit,2603.59,907.37,130.98,1438.81,1681.94
8,EPS (Baht),2.83,0.99,0.14,1.56,1.83
9,Financial Ratio,,,,,
10,ROA (%),18.02,5.87,0.8,9.13,10.09
11,ROE (%),18.28,6.52,0.98,10.8,12.33
12,Net Profit Margin (%),14.61,6.68,1.06,9.08,10.06
