,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,62902.56,67977.67,71208.33,64685.52,67793.88
2,Liabilities,35214.09,50617.36,54379.53,56731.12,59381.54
3,Equity,19943.88,14266.11,20201.10,7954.41,8412.34
4,Paid-up Capital,485.0,485.00,987.86,1216.43,1285.00
5,Revenue,41202.63,16260.96,4558.62,18319.94,42983.01
6,Profit (Loss) from Other Activities,350.47,-,-,-,-
7,Net Profit,-474.0,-4764.09,-6647.49,-8030.00,465.82
8,EPS (Baht),-0.1,-0.98,-1.30,-0.69,0.04
9,Financial Ratio,,,,,
10,ROA (%),-0.16,-11.50,-16.96,-12.43,4.25
11,ROE (%),-2.35,-27.85,-38.57,-57.04,5.69
12,Net Profit Margin (%),-2.1,-53.30,-262.32,-44.84,1.08
