,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,60511.44,68206.52,71432.24,79924.06,86125.72
2,Liabilities,22662.32,30810.64,28505.91,32461.18,34661.02
3,Equity,37086.00,36579.37,42069.57,46514.3,50475.13
4,Paid-up Capital,2143.08,2143.08,2143.08,1953.05,1953.05
5,Revenue,23957.15,20969.29,29647.48,35500.71,31818.08
6,Profit (Loss) from Other Activities,-,209.16,532.94,390.48,246.87
7,Net Profit,5402.76,4251.23,7070.32,8173.26,5989.43
8,EPS (Baht),2.52,2.13,3.63,4.19,3.07
9,Financial Ratio,,,,,
10,ROA (%),11.54,9.07,13.38,14.26,9.8
11,ROE (%),15.20,11.54,17.98,18.45,12.35
12,Net Profit Margin (%),22.82,20.64,24.08,23.39,19.12
