,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,14115.63,16527.3,26383.76,19796.46,17730.69
2,Liabilities,7137.35,8900.99,12078.12,6286.66,4026.23
3,Equity,6248.0,6884.5,12979.72,12444.9,12593.97
4,Paid-up Capital,2493.75,2493.75,2493.75,2493.75,2493.75
5,Revenue,8996.28,9021.36,21533.42,18918.47,11848.13
6,Profit (Loss) from Other Activities,2.36,2.99,2.13,0.34,1.06
7,Net Profit,1134.91,1229.4,6846.0,3038.91,1406.36
8,EPS (Baht),0.46,0.49,2.75,1.22,0.56
9,Financial Ratio,,,,,
10,ROA (%),12.82,11.99,44.3,18.2,10.55
11,ROE (%),19.0,18.72,68.93,23.91,11.23
12,Net Profit Margin (%),14.43,15.43,34.86,16.69,12.48
