,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,127787.98,148322.59,201785.31,242344.35,340428.81
2,Liabilities,68972.94,90006.17,132225.98,158966.27,240397.01
3,Equity,51603.93,46365.96,53467.1,62703.83,72111.71
4,Paid-up Capital,1376.92,1376.92,1376.92,1376.92,1376.92
5,Revenue,190983.67,136982.82,200695.74,314056.07,396021.86
6,Profit (Loss) from Other Activities,1178.62,156.66,753.29,-2905.86,2975.12
7,Net Profit,1731.57,-6967.07,7623.79,12575.16,13233.28
8,EPS (Baht),1.18,-5.5,5.25,8.89,9.27
9,Financial Ratio,,,,,
10,ROA (%),3.47,-3.9,9.51,14.4,8.8
11,ROE (%),3.67,-14.22,15.27,21.65,19.63
12,Net Profit Margin (%),1.3,-4.21,4.91,4.82,3.01
