,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,17834.26,21214.72,22450.21,21711.81,23674.93
2,Liabilities,11892.97,17286.16,16427.49,15990.19,17304.99
3,Equity,5762.16,3812.74,6012.06,5698.48,6329.58
4,Paid-up Capital,2517.53,2517.53,4531.56,4531.56,4531.56
5,Revenue,6439.07,2348.46,1641.26,4717.29,7046.29
6,Profit (Loss) from Other Activities,0.31,-18.38,9.31,41.03,59.96
7,Net Profit,445.57,-1715.26,-2050.22,-224.19,742.66
8,EPS (Baht),0.18,-0.68,-0.56,-0.05,0.16
9,Financial Ratio,,,,,
10,ROA (%),6.09,-6.56,-7.28,0.99,5.87
11,ROE (%),7.88,-35.83,-41.74,-3.83,12.35
12,Net Profit Margin (%),7.81,-75.73,-131.32,-4.52,10.78
