,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,1858190.28,1808331.83,1759180.73,1826278.88,1824433.72
2,Liabilities,1663378.79,1603582.11,1548345.04,1607271.29,1595086.59
3,Equity,194776.87,204712.63,210834.56,219006.44,229347.09
4,Paid-up Capital,91541.39,91588.95,91791.73,91937.27,92246.41
5,Revenue,52251.82,89885.61,80709.8,81535.77,94530.5
6,Profit (Loss) from Other Activities,3786.23,2766.93,2007.87,1960.8,2001.93
7,Net Profit,7222.48,10112.18,10474.05,14195.19,18462.18
8,EPS (Baht),0.15,0.1,0.11,0.15,0.19
9,Financial Ratio,,,,,
10,ROA (%),1.58,1.68,1.46,1.76,2.16
11,ROE (%),4.92,5.06,5.04,6.6,8.24
12,Net Profit Margin (%),13.82,11.25,12.98,17.41,19.53
