,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,20284.99,20280.21,23798.73,25080.79,23549.63
2,Liabilities,11503.5,11949.06,14180.74,13904.78,12773.41
3,Equity,8295.63,7895.09,9147.33,10178.21,9708.99
4,Paid-up Capital,849.08,849.08,849.08,847.47,847.47
5,Revenue,8648.61,7446.4,10974.92,11983.9,9987.28
6,Profit (Loss) from Other Activities,-75.11,42.24,35.11,150.92,213.72
7,Net Profit,462.39,62.43,1337.43,1601.69,295.41
8,EPS (Baht),0.55,0.07,1.58,1.89,0.35
9,Financial Ratio,,,,,
10,ROA (%),4.22,1.63,9.22,9.56,3.87
11,ROE (%),5.6,0.77,15.7,16.58,2.97
12,Net Profit Margin (%),5.32,0.31,12.36,13.99,3.93
