,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,375617.45,523354.33,931892.56,924061.49,926491.19
2,Liabilities,267249.66,411759.3,639085.34,633760.19,624896.08
3,Equity,93738.86,96758.74,104134.13,100724.2,110995.45
4,Paid-up Capital,8983.1,8983.1,8983.1,8983.1,8983.1
5,Revenue,571006.48,546364.02,587189.76,852605.22,920841.35
6,Profit (Loss) from Other Activities,103.58,162.56,6895.02,822.11,1091.98
7,Net Profit,22343.08,16102.42,12985.48,13271.71,18482.13
8,EPS (Baht),2.38,1.68,1.33,1.39,2.01
9,Financial Ratio,,,,,
10,ROA (%),8.94,6.18,3.47,3.98,4.65
11,ROE (%),25.02,16.91,12.93,12.96,17.46
12,Net Profit Margin (%),3.97,3.02,2.05,1.9,2.37
